"SampleDate","SampleID","Region","SiteCode","TidalHeight","Transect","Blade","BladeArea.cm2","Scanned","year","location","site","file_name","blade_num","prevelance","severity","lesion_area","healthy_area","correct_num","severity_per"
"2019-07-02","BB.A.6.L.12","BB","A","L","6","12",156.24,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.6.L.9_12.jpg",12,1,6.963294473,431.943048,5771.199009,TRUE,0.06963294473
"2019-07-02","BB.A.6.L.11","BB","A","L","6","11",152,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.6.L.9_12.jpg",11,1,9.388925085,367.1466533,3543.275998,TRUE,0.09388925085
"2019-07-02","BB.A.6.L.7","BB","A","L","6","7",144.9,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.5.L.14","BB","D","L","5","14",143.73,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-02","BB.A.5.L.14","BB","A","L","5","14",140.13,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.5.L.13_15.jpg",14,1,23.11583626,555.3540649,1847.129058,TRUE,0.2311583626
"2019-07-02","BB.A.5.L.11","BB","A","L","5","11",137.25,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-03","BB.B.3.U.14","BB","B","U","3","14",137.25,"Y",2019,"Bodega Bay","B Mason's Marina/Disease Scans/","BB.B.3.U.14_15.jpg",14,1,8.154179297,555.2822465,6254.504812,TRUE,0.08154179297
"2019-07-02","BB.A.4.L.8","BB","A","L","4","8",134.8,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-02","BB.A.4.L.11","BB","A","L","4","11",134.55,"Y",2019,"Bodega Bay","A Westside Park/Disease Scans/","BB.A.4.L.10_12.jpg",11,1,14.6102034,205.3594513,1200.229819,TRUE,0.146102034
"2019-07-02","BB.A.4.L.9","BB","A","L","4","9",133.44,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.5.L.11","BB","D","L","5","11",132.66,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"2019-07-17","BB.D.3.U.14","BB","D","U","3","14",132.57,"N",NA,NA,NA,NA,NA,0,0,0,NA,NA,0
