"Region","SiteCode","TidalHeight","Transect","prev","sev","lesion","count","percent","BladeArea.cm2"
"AK","A","L","4",1,0.307211525172679,602.25132864,20,1,20.34153292885
"AK","A","L","5",0.7,0.0146999868204538,50.3796502428,20,1,29.2280804938925
"AK","A","L","6",0.85,0.196882909029485,239.4324547561,20,1,12.160901105632
"AK","A","U","1",0.5,0.0284800807960818,12.53088193035,20,1,3.60917331945
"AK","A","U","2",0.45,0.0119849923465989,6.5392487788,20,1,5.896
"AK","A","U","3",0.45,0.043099139253005,24.22373240505,20,1,3.821659257375
"AK","B","L","4",0.2,0.0051555892374696,8.44486139025,20,1,19.80775933642
"AK","B","L","5",0.1,0.000885444201641754,1.23886814145,20,1,30.7804460644
"AK","B","L","6",0.15,0.000473653132346462,1.5976910371,20,1,33.3900658930725
"AK","B","U","1",0.7,0.019007647065881,58.07454754695,20,1,27.316928397124
"AK","B","U","2",0.45,0.00639030939104543,22.75459637945,20,1,30.012717574
"AK","B","U","3",0.45,0.0130239784079727,48.2798585139,20,1,33.2607045031
"AK","C","L","4",0.48,0.0251235727054858,33.09077851248,25,1.25,22.4397359096652
"AK","C","L","5",0.45,0.00999942912856918,26.27980465455,20,1,25.408111606045
"AK","C","L","6",0.35,0.00734448640128301,28.0552463369,20,1,32.97968245485
"AK","C","U","1",0.45,0.0471813043463084,106.3523412875,20,1,24.27698628236
"AK","C","U","2",0.7,0.0429538572948885,62.2436979295,20,1,15.415216820027
"AK","C","U","3",0.45,0.0252300752444835,51.8742818156,20,1,27.545966747266
"AK","D","L","4",0.7,0.119694021930891,270.726982176,20,1,20.8378341715
"AK","D","L","5",0.6,0.0292265739677239,60.90850330015,20,1,22.912406097305
"AK","D","L","6",0.875,0.00656092873751764,17.142725689,16,0.8,28.1539943622075
"AK","D","U","1",0.95,0.124009805885854,188.763645511,20,1,15.5335
"AK","D","U","2",0.95,0.137583906719265,338.213875312,20,1,22.98707903635
"AK","D","U","3",1,0.0896554942065421,216.7549734362,20,1,23.4685
"AK","E","L","4",0.8,0.196111687158844,420.710015104,20,1,18.89171883045
"AK","E","L","5",0.789473684210526,0.0763533146855812,115.054090621263,19,0.95,12.6595882536342
"AK","E","L","6",0.65,0.154237077852547,135.3034329175,20,1,9.754674949905
"AK","E","U","1",0.5,0.0559959906256332,38.5069843404,20,1,7.29073089624
"AK","E","U","2",0.75,0.0995563048309079,70.7950301663,20,1,7.44771897444
"AK","E","U","3",0.7,0.109677521964197,93.40150100345,20,1,7.69762600545
"AK","F","L","4",0.4,0.0471891006890289,69.37760342,20,1,12.24036318555
"AK","F","L","5",0.6,0.153594804876592,128.12598749925,20,1,6.6356383582275
"AK","F","L","6",0.55,0.0489479481236209,33.54549698635,20,1,8.39951457929
"AK","F","U","1",0.4,0.0757005460991215,94.4757253705,20,1,11.99512248645
"AK","F","U","2",0.75,0.144254824166113,99.98868859105,20,1,7.185748348155
"AK","F","U","3",1,0.274477102937455,178.21109235785,20,1,6.79569548978
"BC","A","L","4",0.35,0.0441049573942096,95.0510808667,20,1,28.955561189557
"BC","A","L","5",0.7,0.0306463734211596,84.68390907545,20,1,27.8073182268645
"BC","A","L","6",0.35,0.0439866959129385,90.4609846329,20,1,30.361146581429
"BC","A","U","1",0.3,0.0436598701926124,52.75746912015,20,1,15.2389240169115
"BC","A","U","2",0.25,0.0366400219779313,45.8075983903,20,1,13.662478382643
"BC","A","U","3",0.9,0.124535196941513,297.30932206675,20,1,26.6464836255275
"BC","B","L","4",0.3,0.0256413490183467,101.466173515,20,1,66.845
"BC","B","L","5",0.45,0.0292686878781478,177.69444840825,20,1,63.3775
"BC","B","L","6",0.4,0.000865630330469247,5.073188832,20,1,58.26035175782
"BC","B","U","1",0.35,0.0331123533570726,194.14051277,20,1,63.369
"BC","B","U","2",0.15,0.00217002647128143,8.3448542085,20,1,44.5975
"BC","B","U","3",0.05,0.000528403420258621,2.45179187,20,1,57.512
"BC","C","L","4",0.55,0.0851344545489615,247.0198937246,20,1,29.386307024746
"BC","C","L","5",0.4,0.0586824482418653,142.2764650905,20,1,28.227800237005
"BC","C","L","6",0.55,0.0864294172833818,306.5765943479,20,1,35.090245403129
"BC","C","U","1",0.1,0.00223741715423979,1.8419635164,20,1,10.767215059864
"BC","C","U","2",0.05,0.00200946438366418,2.048621086,20,1,11.88050136516
"BC","C","U","3",0.3,0.0218262299311461,23.4672148782,20,1,11.692928900432
"BC","D","L","4",0.1,0.00256751318687184,6.3914823313,20,1,23.797301422013
"BC","D","L","5",0.4,0.0860134544930611,303.5340958035,20,1,29.381489227285
"BC","D","L","6",0.2,0.000222779729331507,0.5551565642,20,1,27.258516625642
"BC","D","U","1",0.25,0.0174812845738959,19.7268205983,20,1,12.438057095933
"BC","D","U","2",0.3,0.0785605086649504,29.133510482,20,1,6.78635668616
"BC","D","U","3",0.25,0.0356867633480839,28.66318945795,20,1,9.7696859020295
"BC","E","L","4",0.5,0.139026373933147,217.48105788935,20,1,15.4354499789935
"BC","E","L","5",0.5,0.0568391811160422,126.94969119665,20,1,19.7159370875165
"BC","E","L","6",0.4,0.0625118966686514,79.80402540105,20,1,12.9862098168705
"BC","E","U","1",0.25,0.026133850513213,5.6135090492,20,1,2.054597026807
"BC","E","U","2",0.5,0.138300763332166,71.180964527,20,1,3.783376975025
"BC","E","U","3",0.210526315789474,0.00818955117358773,4.56566851652632,19,0.95,3.95233447742842
"WA","A","L","4",0.95,0.0759098134849791,293.59460283755,20,1,38.8152703983755
"WA","A","L","5",0.9,0.129807567563859,636.925542228,20,1,47.46201163378
