"Region","TidalHeight","prevM","sevM","lesion","count","prevSD","prevSE","sevSD","sevSE"
"AK","L",0.563888888888889,0.0778246164192416,124.486498132467,360,0.496591601638312,0.0261726754681345,0.14486283236943,0.00763494164317606
"AK","U",0.644444444444444,0.0749034934211863,95.1102612597694,360,0.479347539638362,0.0252638336009178,0.122338034574026,0.00644778056203915
"BC","L",0.41,0.050129414210439,132.33454984529,300,0.492655082284082,0.0284434544374352,0.119788725759628,0.00691600530632034
"BC","U",0.280936454849498,0.0381713864800627,52.630416529194,299,0.450210009879214,0.0260363171233818,0.121440812645603,0.0070231035303067
"WA","L",0.775919732441472,0.0783280691256148,349.554977865498,299,0.417674217452742,0.0241547236650235,0.113712668630195,0.00657617342225711
"WA","U",0.651877133105802,0.104566725620537,324.205768921775,293,0.4771902193046,0.0278777502752547,0.177308726827542,0.0103584864235584
"OR","L",0.124161073825503,0.000243388627908835,7.39246754656711,298,0.33031991568045,0.0191349189477785,0.00199905878779655,0.00011580236631368
"OR","U",0.298657718120805,0.00367215164361013,32.4097172286107,298,0.458439246118074,0.0265566724878805,0.0139377197361282,0.000807390426091252
"BB","L",0.694444444444444,0.0353036651016192,206.945855878258,360,0.461283448980463,0.0243117724286057,0.0705852347267385,0.00372016851523511
"BB","U",0.728291316526611,0.0397854983411934,174.152235582325,357,0.4454648427567,0.02357649960668,0.0712466120478727,0.00377077057423673
"SD","L",0.569037656903766,0.103421123255787,18.623558973887,239,0.496250134564204,0.0320997527366349,0.190499386349756,0.012322380937343
"SD","U",0.493723849372385,0.0704721251391427,9.60748967185774,239,0.501009844810344,0.0324076327982359,0.14325736750933,0.00926654877139538
