TransectID,Meter,SampleID,LongestBladeLength.mm,LongestBladeWidth.mm,SheathLength.mm,3rd.BladeLength.mm,3rd.BladeWidth.mm,DiseasePrevalence,GrazingScars,BrokenTip,TinMass.Epibiont.g,TinAndEpibiontDryMass.g,EpibiontDryMass.g,BladeArea.cm2
2019-07-14_AK_A_U1,m4,2019-07-14_AK_A_U1_m4,134,2,52,134,2,,0,Y,0.806,0.807,0.001,2.68
2019-07-14_AK_A_U1,m8,2019-07-14_AK_A_U1_m8,183,2,39,122,2,,0,Y,0.829,0.83,0.001,2.44
2019-07-14_AK_A_U1,m12,2019-07-14_AK_A_U1_m12,250,2,24,192,2,,1,N,0.994,0.998,0.004,3.84
2019-07-14_AK_A_U1,m16,2019-07-14_AK_A_U1_m16,208,3,68,208,3,,2,Y,1.036,1.05,0.014,6.24
2019-07-14_AK_A_U1,m20,2019-07-14_AK_A_U1_m20,188,2,27,150,2,,0,N,0.733,0.735,0.002,3
2019-07-14_AK_A_U2,m4,2019-07-14_AK_A_U2_m4,219,3,53,219,3,,1,Y,0.954,0.957,0.003,6.57
2019-07-14_AK_A_U2,m8,2019-07-14_AK_A_U2_m8,243,2,35,208,3,,1,N,0.935,0.937,0.002,6.24
2019-07-14_AK_A_U2,m12,2019-07-14_AK_A_U2_m12,185,2,13,164,2,,0,N,0.741,0.744,0.003,3.28
2019-07-14_AK_A_U2,m16,2019-07-14_AK_A_U2_m16,288,2,71,288,2,,0,N,0.759,0.76,0.001,5.76
2019-07-14_AK_A_U2,m20,2019-07-14_AK_A_U2_m20,214,2,30,214,2,,0,N,1.213,1.214,0.001,4.28
2019-07-14_AK_A_U3,m4,2019-07-14_AK_A_U3_m4,314,2,17,307,2,,0,Y,1.081,1.082,0.001,6.14
2019-07-14_AK_A_U3,m8,2019-07-14_AK_A_U3_m8,160,1.3,30,145,1.1,,0,N,1.063,1.063,0,1.595
2019-07-14_AK_A_U3,m12,2019-07-14_AK_A_U3_m12,137,1.8,5,136,1.5,,0,N,0.933,0.934,0.001,2.04
2019-07-14_AK_A_U3,m16,2019-07-14_AK_A_U3_m16,301,1.7,15,271,1.2,,0,N,0.995,0.996,0.001,3.252
2019-07-14_AK_A_U3,m20,2019-07-14_AK_A_U3_m20,297,1.6,65,239,2,,0,N,0.984,0.985,0.001,4.78
2019-07-14_AK_A_L4,m4,2019-07-14_AK_A_L4_m4,144,3,35,144,3,,3,N ,0.583,0.589,0.006,4.32
2019-07-14_AK_A_L4,m8,2019-07-14_AK_A_L4_m8,275,2,20,257,2,,0,N,0.733,0.735,0.002,5.14
2019-07-14_AK_A_L4,m12,2019-07-14_AK_A_L4_m12,259,2,17,256,2,,0,N,0.793,0.793,0,5.12
2019-07-14_AK_A_L4,m16,2019-07-14_AK_A_L4_m16,263,2,4,136,2,,1,Y,1.084,1.086,0.002,2.72
2019-07-14_AK_A_L4,m20,2019-07-14_AK_A_L4_m20,220,2,4,199,2,,0,Y,0.0976,0.983,0.8854,3.98
2019-07-14_AK_A_L5,m4,2019-07-14_AK_A_L5_m4,904,5,80,520,5,,0,Y,0.905,0.91,0.005,26
2019-07-14_AK_A_L5,m8,2019-07-14_AK_A_L5_m8,817,6,37,714,6,,2,Y,0.93,0.937,0.007,42.84
2019-07-14_AK_A_L5,m12,2019-07-14_AK_A_L5_m12,456,6,68,456,6,,3,Y,0.918,0.933,0.015,27.36
2019-07-14_AK_A_L5,m16,2019-07-14_AK_A_L5_m16,916,5,115,495,5,,0,Y,0.641,0.648,0.007,24.75
2019-07-14_AK_A_L5,m20,2019-07-14_AK_A_L5_m20,668,5,57,461,4,,1,Y,0.665,0.674,0.009,18.44
2019-07-14_AK_A_L6,m4,2019-07-14_AK_A_L6_m4,606,3,111,606,3,,1,N,0.743,0.745,0.002,18.18
2019-07-14_AK_A_L6,m8,2019-07-14_AK_A_L6_m8,491,3,109,397,3,,2,N,0.612,0.616,0.004,11.91
2019-07-14_AK_A_L6,m12,2019-07-14_AK_A_L6_m12,492,2,140,353,2,,0,N,0.543,0.548,0.005,7.06
2019-07-14_AK_A_L6,m16,2019-07-14_AK_A_L6_m16,488,2,130,488,2,,0,N,0.975,0.983,0.008,9.76
2019-07-14_AK_A_L6,m20,2019-07-14_AK_A_L6_m20,247,2,62,247,2,,0,Y,0.819,0.822,0.003,4.94
2019-07-15_AK_B_U1,m4,2019-07-15_AK_B_U1_m4,499,4,75,499,5,,4,N ,0.407,0.411,0.004,24.95
2019-07-15_AK_B_U1,m8,2019-07-15_AK_B_U1_m8,622,6,39,611,6,,1,N,0.409,0.41,0.001,36.66
2019-07-15_AK_B_U1,m12,2019-07-15_AK_B_U1_m12,651,5.5,33,651,5.5,,4,N,0.362,0.367,0.005,35.805
2019-07-15_AK_B_U1,m16,2019-07-15_AK_B_U1_m16,574,5,32,525,5.5,,3,Y,0.446,0.452,0.006,28.875
2019-07-15_AK_B_U1,m20,2019-07-15_AK_B_U1_m20,352,5,27,352,5,,2,N,0.412,0.413,0.001,17.6
2019-07-15_AK_B_U2,m4,2019-07-15_AK_B_U2_m4,641,5,22,451,5,,3,N,0.379,0.382,0.003,22.55
2019-07-15_AK_B_U2,m8,2019-07-15_AK_B_U2_m8,751,5,56,751,5,,4,N,0.376,0.38,0.004,37.55
2019-07-15_AK_B_U2,m12,2019-07-15_AK_B_U2_m12,754,5,112,754,5,,3,N,0.408,0.411,0.003,37.7
2019-07-15_AK_B_U2,m16,2019-07-15_AK_B_U2_m16,666,5,178,666,5,,0,N,0.422,0.426,0.004,33.3
2019-07-15_AK_B_U2,m20,2019-07-15_AK_B_U2_m20,695,6,167,695,6,,0,N,0.346,0.35,0.004,41.7
2019-07-15_AK_B_U3,m4,2019-07-15_AK_B_U3_m4,871,6,45,852,6,,5,N,0.332,0.344,0.012,51.12
2019-07-15_AK_B_U3,m8,2019-07-15_AK_B_U3_m8,837,7,67,837,7,,0,N,0.372,0.377,0.005,58.59
2019-07-15_AK_B_U3,m12,2019-07-15_AK_B_U3_m12,796,6,175,796,6,,4,N,0.351,0.356,0.005,47.76
2019-07-15_AK_B_U3,m16,2019-07-15_AK_B_U3_m16,299,4,34,255,4,,0,N,0.337,0.377,0.04,10.2
2019-07-15_AK_B_U3,m20,2019-07-15_AK_B_U3_m20,678,5,164,678,3,,2,N,0.443,0.443,0,20.34
2019-07-15_AK_B_L4,m4,2019-07-15_AK_B_L4_m4,199,3,26,40,3,,0,Y,0.57,0.571,0.001,1.2
2019-07-15_AK_B_L4,m8,2019-07-15_AK_B_L4_m8,404,5,36,182,4,,1,Y,0.617,0.621,0.004,7.28
2019-07-15_AK_B_L4,m12,2019-07-15_AK_B_L4_m12,574,4,25,535,4,,0,N,0.541,0.545,0.004,21.4
2019-07-15_AK_B_L4,m16,2019-07-15_AK_B_L4_m16,949,8,122,949,8,,0,N,0.568,0.578,0.01,75.92
2019-07-15_AK_B_L4,m20,2019-07-15_AK_B_L4_m20,429,3,75,330,3,,0,N,0.536,0.539,0.003,9.9
2019-07-15_AK_B_L5,m4,2019-07-15_AK_B_L5_m4,904,6,233,819,6,,0,N ,0.39,0.391,0.001,49.14
2019-07-15_AK_B_L5,m8,2019-07-15_AK_B_L5_m8,481,5,140,411,5,,0,N,0.377,0.379,0.002,20.55
2019-07-15_AK_B_L5,m12,2019-07-15_AK_B_L5_m12,629,5,166,580,5,,0,N,0.41,0.412,0.002,29
2019-07-15_AK_B_L5,m16,2019-07-15_AK_B_L5_m16,929,6,346,929,6,,0,N,0.372,0.377,0.005,55.74
2019-07-15_AK_B_L5,m20,2019-07-15_AK_B_L5_m20,673,6,245,443,6,,0,Y,0.587,0.592,0.005,26.58
2019-07-15_AK_B_L6,m4,2019-07-15_AK_B_L6_m4,886,5,23,866,5,,1,N,0.388,0.393,0.005,43.3
2019-07-15_AK_B_L6,m8,2019-07-15_AK_B_L6_m8,1046,6,27,1046,6,,0,N,0.485,0.489,0.004,62.76
2019-07-15_AK_B_L6,m12,2019-07-15_AK_B_L6_m12,698,5.5,65,690,6,,0,N,0.449,0.458,0.009,41.4
2019-07-15_AK_B_L6,m16,2019-07-15_AK_B_L6_m16,506,3,55,366,3.5,,0,N,0.456,0.46,0.004,12.81
2019-07-15_AK_B_L6,m20,2019-07-15_AK_B_L6_m20,430,3,35,340,3,,0,N,0.371,0.375,0.004,10.2
2019-07-16_AK_C_U1,m4,2019-07-16_AK_C_U1_m4,250,3,40,207,2,,0,N,0.34,0.341,0.001,4.14
2019-07-16_AK_C_U1,m8,2019-07-16_AK_C_U1_m8,275,5,60,93,4,,0,N,0.294,0.295,0.001,3.72
2019-07-16_AK_C_U1,m12,2019-07-16_AK_C_U1_m12,609,5,20,416,5,,0,N,0.324,0.325,0.001,20.8
2019-07-16_AK_C_U1,m16,2019-07-16_AK_C_U1_m16,413,4,80,368,4,,0,N,0.433,0.437,0.004,14.72
2019-07-16_AK_C_U1,m20,2019-07-16_AK_C_U1_m20,208,4,71,177,3,,1,N,0.473,0.474,0.001,5.31
2019-07-16_AK_C_U2,m4,2019-07-16_AK_C_U2_m4,322,2,72,322,2,,1,N,0.406,0.407,0.001,6.44
2019-07-16_AK_C_U2,m8,2019-07-16_AK_C_U2_m8,381,3,58,381,3,,0,N,0.309,0.311,0.002,11.43
2019-07-16_AK_C_U2,m12,2019-07-16_AK_C_U2_m12,415,5,96,415,5,,3,N,0.514,0.516,0.002,20.75
2019-07-16_AK_C_U2,m16,2019-07-16_AK_C_U2_m16,402,4,78,388,3,,1,N,0.396,0.397,0.001,11.64
2019-07-16_AK_C_U2,m20,2019-07-16_AK_C_U2_m20,395,3,58,260,3,,0,N,0.458,0.459,0.001,7.8
2019-07-15_AK_B_U3,m4,2019-07-15_AK_B_U3_m4,718,4,61,626,4,,0,Y,0.517,0.522,0.005,25.04
2019-07-15_AK_B_U3,m8,2019-07-15_AK_B_U3_m8,534,3,54,435,4,,0,N,0.439,0.44,0.001,17.4
2019-07-15_AK_B_U3,m12,2019-07-15_AK_B_U3_m12,371,3,72,280,3,,4,Y,0.414,0.42,0.006,8.4
2019-07-15_AK_B_U3,m16,2019-07-15_AK_B_U3_m16,581,5,64,452,4,,0,Y,0.6,0.602,0.002,18.08
2019-07-15_AK_B_U3,m20,2019-07-15_AK_B_U3_m20,705,6,74,675,5,,0,Y,0.445,0.45,0.005,33.75
2019-07-16_AK_C_L4,m4,2019-07-16_AK_C_L4_m4,345,3,98,276,3,,0,Y,0.48,0.482,0.002,8.28
2019-07-16_AK_C_L4,m8,2019-07-16_AK_C_L4_m8,569,5.5,159,569,5.5,,0,Y,0.351,0.352,0.001,31.295
2019-07-16_AK_C_L4,m12,2019-07-16_AK_C_L4_m12,423,3.5,141,423,3.5,,0,N,0.53,0.532,0.002,14.805
2019-07-16_AK_C_L4,m16,2019-07-16_AK_C_L4_m16,410,4,160,410,4,,0,Y,0.496,0.501,0.005,16.4
